
2024/10/31 (08:41:43) | ===> btop++ v.1.4.0
2024/10/31 (08:41:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (08:41:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (08:44:40) | ===> btop++ v.1.4.0
2024/10/31 (08:44:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (08:44:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (08:48:20) | ===> btop++ v.1.4.0
2024/10/31 (08:48:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (08:48:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:08:58) | ===> btop++ v.1.4.0
2024/10/31 (09:08:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (09:08:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:10:07) | ===> btop++ v.1.4.0
2024/10/31 (09:10:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (09:10:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:10:58) | ===> btop++ v.1.4.0
2024/10/31 (09:10:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (09:10:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:12:03) | ===> btop++ v.1.4.0
2024/10/31 (09:12:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (09:12:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:15:34) | ===> btop++ v.1.4.0
2024/10/31 (09:15:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (09:15:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:15:53) | ===> btop++ v.1.4.0
2024/10/31 (09:15:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (09:15:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (10:56:12) | ===> btop++ v.1.4.0
2024/10/31 (10:56:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (10:56:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:28:34) | ===> btop++ v.1.4.0
2024/10/31 (15:28:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (15:28:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:30:41) | ===> btop++ v.1.4.0
2024/10/31 (15:30:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (15:30:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:33:20) | ===> btop++ v.1.4.0
2024/10/31 (15:33:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (15:33:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:37:28) | ===> btop++ v.1.4.0
2024/10/31 (15:37:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (15:37:28) | WARNING: Intel GPU: Failed to initialize PMU
